sa1_main16, non_sc_quals_adv_dip_dip_p, non_sc_qua_gra_dip_gra_cer_p, sa1_7dig16, non_sc_quals_postgrad_deg_p, non_sc_quals_bachelor_deg_p, p_aged_15_yr_over_p
"20804119508",32,12,"2119508",22,76,270
"20804119521",30,7,"2119521",33,106,380
"20804119529",16,19,"2119529",43,89,237
"20804119532",32,11,"2119532",56,147,422
"20804119533",37,27,"2119533",58,133,466
"20804119535",50,8,"2119535",68,121,480
"20901119821",30,18,"2119821",27,98,347
"20804119550",0,0,"2119550",0,0,0
"20901119601",49,6,"2119601",8,46,378
"20901119602",30,8,"2119602",16,56,317
"20901119604",37,3,"2119604",27,60,397
"20901119605",31,5,"2119605",26,62,412
"20901119816",21,6,"2119816",29,67,274
"20901119618",36,3,"2119618",28,49,365
"20901119704",39,25,"2119704",18,69,412
"20901119622",31,7,"2119622",17,46,281
"20901119930",34,8,"2119930",26,76,361
"20901119701",50,14,"2119701",29,93,440
"20901119730",38,17,"2119730",14,52,362
"20901119708",18,5,"2119708",10,26,186
"20901119713",34,9,"2119713",12,44,253
"20901119720",29,3,"2119720",17,45,391
"20901119726",35,16,"2119726",16,61,327
"20901119727",37,7,"2119727",15,38,294
"20901119734",27,9,"2119734",10,49,246
"20901119737",26,5,"2119737",23,42,242
"20901119738",13,7,"2119738",7,48,219
"20901119751",26,3,"2119751",16,53,314
"20901119803",53,28,"2119803",39,130,503
"20901119805",34,14,"2119805",33,106,348
"20901119814",59,26,"2119814",80,154,579
"20901119819",33,10,"2119819",33,80,307
"20904121933",17,0,"2121933",9,20,254
"20901119825",35,10,"2119825",36,86,338
"20901119832",31,19,"2119832",46,94,370
"20901119901",33,9,"2119901",22,43,440
"20901119911",47,14,"2119911",15,63,538
"20901119914",26,11,"2119914",19,77,383
"20901119916",42,3,"2119916",16,80,437
"20901119929",23,10,"2119929",17,49,277
"20901120006",15,25,"2120006",31,57,209
"20901120010",29,18,"2120010",40,106,345
"20901120013",18,22,"2120013",42,58,318
"20901120017",31,17,"2120017",41,114,358
"20901120018",44,29,"2120018",67,161,557
"21001122947",27,7,"2122947",11,52,341
"20901120025",46,13,"2120025",55,128,436
"20901120105",30,13,"2120105",46,102,344
"20901120109",38,30,"2120109",51,134,423
"20901120111",32,16,"2120111",34,93,311
"20901120212",36,23,"2120212",26,65,352
"20901120227",57,13,"2120227",15,72,381
"20901120218",36,20,"2120218",24,84,441
"20901120225",33,28,"2120225",26,92,392
"20901120207",18,0,"2120207",4,29,177
"20901120209",40,14,"2120209",28,95,417
"20901120235",36,9,"2120235",12,49,305
"20901120236",22,8,"2120236",27,46,238
"20901120241",24,12,"2120241",10,32,198
"20901120302",11,10,"2120302",13,34,151
"20901120304",22,4,"2120304",29,57,230
"20901120305",44,18,"2120305",34,100,461
"20901120308",50,22,"2120308",33,112,471
"20901120320",38,7,"2120320",24,72,327
"20901120322",31,13,"2120322",6,34,241
"20901120325",28,16,"2120325",28,103,360
"20901120328",30,11,"2120328",29,62,309
"20901120331",31,12,"2120331",22,70,354
"20901120336",0,0,"2120336",4,0,17
"20901120410",39,14,"2120410",14,43,332
"20902120755",26,8,"2120755",17,45,358
"20901120338",51,22,"2120338",34,103,472
"20901120339",27,12,"2120339",20,61,383
"20902120740",35,8,"2120740",20,61,357
"20901120403",20,6,"2120403",12,35,232
"20901120412",44,15,"2120412",23,80,425
"20901120414",39,0,"2120414",12,62,388
"20902120507",49,18,"2120507",44,110,478
"20902120508",37,3,"2120508",51,88,611
"21001122948",15,0,"2122948",13,42,222
"20902120511",35,3,"2120511",43,101,511
"20902120512",39,6,"2120512",24,59,377
"20902120514",31,12,"2120514",33,54,362
"20902120520",40,20,"2120520",48,73,542
"20902120701",31,8,"2120701",15,63,304
"20902120707",32,21,"2120707",37,62,410
"20902120710",41,12,"2120710",24,73,402
"20902120729",26,3,"2120729",16,56,401
"20902120732",43,3,"2120732",20,56,318
"20902120733",32,4,"2120733",27,68,434
"20902120742",47,10,"2120742",51,79,488
"20902120752",55,4,"2120752",22,65,405
"20902120746",24,3,"2120746",5,43,277
"20902120816",23,0,"2120816",15,23,414
"20902120821",32,9,"2120821",28,95,415
"20902120822",32,6,"2120822",36,66,389
"20902120834",36,6,"2120834",15,55,293
"20902120837",9,0,"2120837",3,14,101
"20902120842",41,5,"2120842",8,67,476
"20902120843",9,0,"2120843",3,13,139
"20902120838",23,0,"2120838",8,23,376
"20902120846",20,8,"2120846",12,44,377
"20902120848",0,0,"2120848",0,0,0
"20902120850",9,4,"2120850",6,24,224
"20902120852",35,10,"2120852",21,56,456
"21205132650",18,10,"2132650",15,42,271
"20902142807",37,12,"2142807",37,84,409
"20902142809",41,12,"2142809",32,76,459
"20902142802",54,18,"2142802",53,94,555
"20902142805",15,3,"2142805",8,30,232
"20902142811",25,16,"2142811",24,59,290
"20902142815",41,27,"2142815",29,96,548
"20902142816",31,13,"2142816",29,70,352
"20902142824",22,11,"2142824",15,53,308
"20902142825",24,3,"2142825",13,50,264
"20902142832",51,19,"2142832",96,175,732
"20902142833",24,11,"2142833",24,69,353
"20902142834",41,18,"2142834",30,119,430
"20902142835",30,9,"2142835",34,67,483
"20902142836",39,10,"2142836",24,86,435
"20902142902",52,37,"2142902",61,139,560
"20902142905",37,20,"2142905",29,105,453
"20902142914",29,11,"2142914",27,66,347
"20902142915",24,12,"2142915",18,64,334
"20902142920",46,20,"2142920",43,86,480
"20903120907",37,3,"2120907",21,45,335
"20903120914",14,13,"2120914",17,59,213
"20903120915",55,25,"2120915",22,74,420
"20903120917",54,22,"2120917",17,85,415
"20903120926",19,6,"2120926",19,41,167
"20903121526",29,9,"2121526",3,40,236
"20903120928",13,3,"2120928",4,36,156
"20903120937",27,7,"2120937",29,74,264
"20903120944",26,21,"2120944",26,74,337
"20903120939",40,14,"2120939",38,87,393
"20903120947",23,14,"2120947",19,66,242
"20904121609",47,8,"2121609",28,74,405
"20903120958",37,24,"2120958",41,92,385
"20903120960",42,16,"2120960",23,66,310
"20903121001",22,8,"2121001",11,45,237
"20904121613",24,8,"2121613",42,60,304
"20903121009",30,15,"2121009",26,56,266
"20903121006",29,21,"2121006",12,54,316
"20904121712",10,6,"2121712",3,37,210
"20904121935",24,0,"2121935",3,21,258
"20903121105",31,7,"2121105",4,19,226
"20903121112",19,6,"2121112",6,22,224
"20904121615",0,0,"2121615",0,0,7
"20903121201",33,3,"2121201",13,43,325
"20903121207",29,6,"2121207",18,35,212
"20903121211",30,22,"2121211",17,42,289
"20904121718",31,14,"2121718",16,39,330
"20903121212",30,5,"2121212",7,45,255
"20903121302",33,7,"2121302",12,47,319
"20903121304",45,16,"2121304",15,81,421
"20903121308",42,11,"2121308",17,66,324
"20903121533",25,4,"2121533",4,25,197
"20903121311",91,20,"2121311",44,159,738
"20903121534",17,0,"2121534",9,28,167
"20903121324",28,4,"2121324",6,44,235
"20903121401",38,15,"2121401",19,66,312
"20903121535",40,7,"2121535",9,34,286
"20904121901",18,4,"2121901",8,21,356
"20903121406",45,19,"2121406",34,81,358
"20903121407",46,15,"2121407",32,78,333
"20904121938",13,5,"2121938",4,18,279
"20903121408",45,18,"2121408",32,90,396
"20903121509",38,10,"2121509",13,78,439
"20903121414",42,12,"2121414",15,57,286
"20903121416",31,19,"2121416",34,58,310
"20904121608",25,5,"2121608",15,79,293
"20903121417",30,7,"2121417",17,52,255
"20903121501",19,4,"2121501",7,38,209
"20903121519",52,14,"2121519",23,67,376
"20903121522",58,16,"2121522",17,93,517
"20904121616",196,45,"2121616",192,408,1830
"20904121706",28,0,"2121706",19,44,337
"20904121707",12,3,"2121707",15,45,226
"20904121711",51,10,"2121711",31,60,464
"20904121905",24,0,"2121905",8,19,332
"20904121911",22,3,"2121911",6,23,270
"20904121907",24,4,"2121907",7,34,459
"20904121909",25,3,"2121909",5,26,248
"20904121912",22,0,"2121912",3,10,239
"20904121915",28,3,"2121915",18,33,456
"20904121917",29,3,"2121917",13,36,487
"20904121950",51,7,"2121950",29,50,504
"20904121928",23,3,"2121928",6,27,365
"20904121941",23,3,"2121941",7,39,448
"20904121945",20,0,"2121945",8,29,263
"20904121946",32,3,"2121946",7,33,385
"20904122004",44,5,"2122004",14,61,457
"20904122007",41,7,"2122007",15,51,372
"20904122012",28,8,"2122012",9,44,315
"20904122023",41,4,"2122023",12,38,354
"20904143019",46,10,"2143019",6,33,311
"20904122027",23,0,"2122027",8,33,235
"20904122034",17,3,"2122034",5,31,254
"20904122041",24,3,"2122041",8,33,264
"20904122045",34,3,"2122045",10,37,308
"20904122309",28,12,"2122309",13,35,422
"20904122108",38,4,"2122108",10,59,392
"20904122115",20,0,"2122115",18,32,259
"20904122110",40,3,"2122110",12,47,459
"20904122114",33,6,"2122114",9,56,381
"20904122121",38,4,"2122121",13,49,383
"20904122123",16,3,"2122123",3,33,250
"20904122305",43,4,"2122305",38,65,554
"20904122336",24,4,"2122336",9,25,426
"20904143133",36,7,"2143133",9,39,296
"20904122126",11,4,"2122126",3,25,184
"20904122127",24,3,"2122127",12,30,239
"20904122321",30,10,"2122321",11,42,336
"20904122331",40,5,"2122331",30,73,453
"20904122333",38,3,"2122333",17,51,513
"20904122337",15,3,"2122337",0,22,297
"20904122339",20,3,"2122339",9,20,299
"20904122340",30,0,"2122340",6,22,336
"20904122341",20,3,"2122341",3,37,351
"20904122343",19,3,"2122343",10,42,363
"20904122349",24,0,"2122349",7,18,330
"20904122352",8,6,"2122352",4,16,164
"20904122353",23,0,"2122353",4,24,298
"20904122401",141,18,"2122401",22,115,1314
"20904122407",26,10,"2122407",16,31,343
"20904122411",21,0,"2122411",8,18,231
"20904122416",17,3,"2122416",0,13,223
"20904122518",17,0,"2122518",10,12,305
"20904122422",29,3,"2122422",6,34,434
"20904122424",8,3,"2122424",0,6,165
"20904122425",47,5,"2122425",11,28,422
"20904122426",55,13,"2122426",11,26,423
"20904122507",22,3,"2122507",0,28,431
"20904122515",0,0,"2122515",0,0,0
"20904143007",41,8,"2143007",6,36,346
"20904143018",30,4,"2143018",6,33,276
"20904122428",103,11,"2122428",25,101,940
"20904122521",29,5,"2122521",3,26,332
"20904143030",20,3,"2143030",3,12,162
"20904143036",42,3,"2143036",0,34,269
"20904143037",29,6,"2143037",8,16,222
"20904143043",50,13,"2143043",14,59,334
"20904143102",0,0,"2143102",0,0,0
"20904143104",37,7,"2143104",20,43,457
"20904143106",13,0,"2143106",3,19,186
"20904143108",29,7,"2143108",13,53,478
"20904143114",49,8,"2143114",40,79,602
"20904143118",15,3,"2143118",8,47,379
"20904143119",25,3,"2143119",5,35,292
"20904143205",24,3,"2143205",0,18,172
"20904143123",36,0,"2143123",3,43,267
"20904143127",39,4,"2143127",9,48,414
"20904143132",18,0,"2143132",6,12,190
"20904143201",23,3,"2143201",4,42,284
"20904143206",23,0,"2143206",11,42,277
"20904143218",19,0,"2143218",6,13,166
"20904143310",41,4,"2143310",3,36,270
"20904143317",19,4,"2143317",12,45,191
"20904143401",30,8,"2143401",8,25,321
"20904143512",25,4,"2143512",12,34,223
"20904143519",70,21,"2143519",28,83,498
"21001122954",37,9,"2122954",13,60,465
"20904143211",0,0,"2143211",0,0,4
"20904143219",21,4,"2143219",11,42,380
"20904143222",38,3,"2143222",13,43,310
"20904143319",109,12,"2143319",56,136,815
"20904143320",16,3,"2143320",7,32,201
"20904143322",43,4,"2143322",12,69,377
"20904143402",65,14,"2143402",29,84,571
"20904143510",35,7,"2143510",15,45,378
"20904143403",68,10,"2143403",43,124,768
"20904143406",46,9,"2143406",23,46,460
"20904143415",30,3,"2143415",22,60,358
"21001122923",43,8,"2122923",15,60,382
"20904143418",58,8,"2143418",14,48,425
"20904143424",17,4,"2143424",10,15,173
"20904143427",37,0,"2143427",14,21,202
"20904143429",91,15,"2143429",45,90,778
"20904143508",28,11,"2143508",16,56,352
"20904143521",42,3,"2143521",19,70,389
"20904143523",54,6,"2143523",23,74,405
"20904143524",46,6,"2143524",39,76,321
"20904143603",32,3,"2143603",10,28,314
"20904143610",0,0,"2143610",0,3,14
"20904143612",16,0,"2143612",11,32,323
"21001122820",38,10,"2122820",13,59,375
"20904143627",33,5,"2143627",25,75,388
"20904143630",29,7,"2143630",19,38,300
"20904143706",58,7,"2143706",31,64,477
"21001122615",31,0,"2122615",16,58,314
"21001122803",16,3,"2122803",3,15,225
"21001122804",0,0,"2122804",0,0,3
"21001122805",0,0,"2122805",0,0,3
"21001122808",44,0,"2122808",6,27,309
"21001122809",23,4,"2122809",4,21,291
"21001122810",44,4,"2122810",12,47,433
"21001122812",48,11,"2122812",9,44,406
"21001122818",0,0,"2122818",0,0,4
"21001122823",47,8,"2122823",11,47,375
"21001122903",38,7,"2122903",16,54,306
"21001122932",3,3,"2122932",5,12,197
"21001122906",28,14,"2122906",23,72,448
"21001122920",17,3,"2122920",8,50,258
"21001122926",31,9,"2122926",6,68,409
"21001122927",43,5,"2122927",14,65,363
"21001122930",34,9,"2122930",18,53,358
"21001122937",29,8,"2122937",8,43,326
"21001122955",22,6,"2122955",12,34,257
"21001122943",119,29,"2122943",59,241,995
"21001122944",21,4,"2122944",7,48,275
"21001122961",20,4,"2122961",5,46,271
"21001122962",26,5,"2122962",17,51,387
"21001122964",24,6,"2122964",15,41,310
"21001123002",37,16,"2123002",23,62,307
"21001123011",42,11,"2123011",18,56,359
"21001123013",22,5,"2123013",21,42,273
"21002123221",32,9,"2123221",11,55,312
"21104127221",35,16,"2127221",23,64,329
"21001123014",25,7,"2123014",10,69,306
"21001123113",47,16,"2123113",28,67,461
"21001123114",26,4,"2123114",12,34,186
"21001123116",18,20,"2123116",24,91,285
"21001123118",25,17,"2123118",18,58,259
"21002123212",13,6,"2123212",11,29,147
"21003143851",26,0,"2143851",17,39,384
"21002123224",37,15,"2123224",17,44,332
"21002123228",19,9,"2123228",7,38,261
"21003123612",23,7,"2123612",21,59,233
"21002123402",59,18,"2123402",9,77,529
"21002123403",38,14,"2123403",7,42,354
"21002123409",39,3,"2123409",3,43,282
"21002123511",33,12,"2123511",3,28,399
"21003123609",15,0,"2123609",8,27,199
"21003123613",30,10,"2123613",29,77,335
"21003123615",50,19,"2123615",21,96,484
"21002123304",12,10,"2123304",11,31,118
"21002123308",31,6,"2123308",11,47,246
"21002123405",18,6,"2123405",12,68,343
"21002123407",46,16,"2123407",25,49,338
"21002123515",22,6,"2123515",6,23,218
"21002123502",24,7,"2123502",8,32,242
"21002123512",14,3,"2123512",0,15,277
"21003123702",35,4,"2123702",16,44,449
"21002123517",33,6,"2123517",4,37,316
"21003143832",36,5,"2143832",21,67,374
"21003123711",0,0,"2123711",0,0,0
"21003123714",21,4,"2123714",14,40,304
"21003123725",20,3,"2123725",20,49,266
"21003123726",17,10,"2123726",24,39,382
"21003123907",51,14,"2123907",26,70,476
"21003123908",42,12,"2123908",33,74,381
"21003123909",35,6,"2123909",7,48,614
"21003143836",21,7,"2143836",19,31,322
"21003123916",58,18,"2123916",28,98,488
"21003123921",25,13,"2123921",21,71,272
"21003123923",55,21,"2123923",40,114,626
"21003123935",28,9,"2123935",15,38,254
"21003143802",18,5,"2143802",10,32,308
"21003143803",15,3,"2143803",7,49,187
"21003143804",57,18,"2143804",33,97,502
"21003143805",44,8,"2143805",21,47,464
"21003143807",28,4,"2143807",15,39,235
"21003143841",12,4,"2143841",12,31,238
"21003143844",24,3,"2143844",24,28,268
"21003143809",23,13,"2143809",11,43,284
"21003143813",38,9,"2143813",23,62,449
"21003143817",38,6,"2143817",55,85,373
"21003143818",43,17,"2143818",66,133,509
"21003143847",8,0,"2143847",0,8,282
"21003143823",0,0,"2143823",0,0,0
"21003143829",26,5,"2143829",5,39,244
"21003143902",71,18,"2143902",42,130,629
"21003143904",0,0,"2143904",0,0,0
"21003143905",19,4,"2143905",7,38,254
"21003144005",32,5,"2144005",16,42,353
"21003144007",0,0,"2144007",0,0,3
"21003144009",22,3,"2144009",9,26,280
"21003144017",26,3,"2144017",3,14,223
"21004124002",60,8,"2124002",12,48,434
"21004124004",28,12,"2124004",6,36,395
"21004124005",25,3,"2124005",12,38,340
"21004124013",35,10,"2124013",14,38,337
"21004124007",0,0,"2124007",0,0,0
"21004124014",47,10,"2124014",30,73,534
"21004124121",38,8,"2124121",8,48,424
"21004124127",46,6,"2124127",5,40,436
"21101125115",25,10,"2125115",12,57,320
"21004124008",26,6,"2124008",0,13,309
"21004124012",14,3,"2124012",3,43,209
"21004124022",64,12,"2124022",6,65,523
"21004124123",21,3,"2124123",0,15,191
"21004124029",40,3,"2124029",8,22,296
"21005124225",24,3,"2124225",15,39,465
"21004124103",50,5,"2124103",6,38,392
"21004124106",71,12,"2124106",24,78,653
"21004124107",26,4,"2124107",3,27,238
"21004124113",29,3,"2124113",4,23,278
"21004124117",31,8,"2124117",5,16,242
"21004124132",48,7,"2124132",19,57,436
"21005124341",14,3,"2124341",0,13,308
"21004124140",76,8,"2124140",12,103,745
"21004124143",28,3,"2124143",3,17,291
"21004124146",56,3,"2124146",9,35,431
"21004124155",32,3,"2124155",3,34,316
"21004124149",20,0,"2124149",3,8,185
"21004124151",69,20,"2124151",9,72,716
"21005124536",0,0,"2124536",0,0,0
"21004124161",30,6,"2124161",3,39,262
"21005124204",42,3,"2124204",9,48,518
"21005124207",22,3,"2124207",17,33,369
"21005124208",16,3,"2124208",5,29,475
"21005124212",48,3,"2124212",39,103,710
"21005124217",25,3,"2124217",8,28,229
"21005124218",58,5,"2124218",26,52,519
"21005124223",17,3,"2124223",0,3,136
"21005124305",8,3,"2124305",3,0,208
"21005124309",20,4,"2124309",6,12,290
"21005124313",8,0,"2124313",3,12,177
"21005124317",21,4,"2124317",13,19,359
"21005124318",20,4,"2124318",7,24,410
"21005124319",20,0,"2124319",10,29,323
"21005124340",19,3,"2124340",6,23,337
"21005124321",18,3,"2124321",18,39,418
"21005124342",13,3,"2124342",4,8,186
"21005124501",32,6,"2124501",6,45,401
"21005124512",27,3,"2124512",5,26,263
"21005124516",18,7,"2124516",3,26,249
"21005124520",3,5,"2124520",7,16,167
"21005124527",20,0,"2124527",6,25,204
"21005124529",22,10,"2124529",3,41,292
"21005124541",22,13,"2124541",8,38,416
"21005124534",0,0,"2124534",0,0,0
"21005124539",46,5,"2124539",7,42,390
"21005124540",41,9,"2124540",3,36,381
"21005124545",27,6,"2124545",4,32,226
"21005124546",32,6,"2124546",5,27,433
"21005124548",17,3,"2124548",12,52,344
"21005124609",27,3,"2124609",8,42,339
"21005124729",3,0,"2124729",3,3,175
"21005124610",37,4,"2124610",8,53,388
"21005124616",19,6,"2124616",7,45,285
"21005124619",23,3,"2124619",3,33,289
"21005124625",59,10,"2124625",14,68,542
"21005124628",25,7,"2124628",11,52,319
"21005124630",298,45,"2124630",113,468,2637
"21005124701",28,3,"2124701",6,26,416
"21303134709",33,0,"2134709",20,50,361
"21005124704",36,4,"2124704",4,34,461
"21005124705",27,0,"2124705",0,10,363
"21101126001",0,0,"2126001",0,0,3
"21005124709",20,3,"2124709",6,37,386
"21005124711",27,3,"2124711",3,28,389
"21005124714",38,5,"2124714",10,33,456
"21102126108",52,16,"2126108",26,94,511
"21005124716",24,9,"2124716",3,28,352
"21005124717",28,3,"2124717",8,35,371
"21005124720",33,0,"2124720",6,21,369
"21005124722",12,4,"2124722",6,28,457
"21005124724",33,3,"2124724",5,39,509
"21005124726",24,4,"2124726",0,17,374
"21102126117",33,11,"2126117",12,81,324
"21005124902",27,9,"2124902",6,33,357
"21005124903",36,7,"2124903",21,47,462
"21005124907",37,5,"2124907",10,46,457
"21005124909",88,10,"2124909",35,102,1008
"21005124921",41,4,"2124921",3,45,396
"21005124924",32,3,"2124924",6,31,308
"21005124926",33,6,"2124926",11,39,415
"21005125001",41,3,"2125001",11,32,370
"21005124929",25,3,"2124929",12,33,300
"21005124930",16,3,"2124930",9,20,224
"21005124939",35,4,"2124939",11,38,341
"21005124938",29,0,"2124938",10,31,284
"21005124946",10,3,"2124946",7,18,176
"21005125004",54,6,"2125004",9,63,451
"21005125005",37,8,"2125005",15,42,371
"21005125006",25,3,"2125006",3,20,315
"21302134324",45,8,"2134324",11,68,611
"21005125010",19,3,"2125010",8,32,352
"21101144654",29,5,"2144654",9,20,169
"21005125011",28,3,"2125011",8,36,362
"21005144112",40,3,"2144112",6,20,390
"21005144121",22,4,"2144121",14,26,389
"21005144201",56,5,"2144201",16,57,436
"21103126735",28,15,"2126735",21,62,361
"21005144203",30,3,"2144203",20,40,265
"21005144204",38,3,"2144204",9,29,278
"21005144210",15,0,"2144210",13,27,182
"21005144214",30,0,"2144214",9,45,327
"21005144223",36,7,"2144223",22,30,325
"21005144329",36,3,"2144329",7,41,418
"21005144218",30,3,"2144218",11,37,299
"21005144304",23,3,"2144304",9,40,306
"21005144303",33,3,"2144303",9,29,366
"21005144311",26,0,"2144311",16,29,227
"21005144315",15,0,"2144315",5,19,235
"21005144332",26,0,"2144332",9,33,262
"21005144409",49,7,"2144409",21,61,392
"21005144321",21,0,"2144321",6,17,258
"21005144323",0,0,"2144323",0,0,0
"21005144324",26,3,"2144324",11,20,283
"21005144325",32,0,"2144325",9,23,422
"21005144336",16,0,"2144336",3,15,241
"21005144410",51,3,"2144410",22,45,359
"21005144421",105,15,"2144421",74,131,846
"21005144423",51,0,"2144423",24,66,371
"21005144505",37,6,"2144505",3,48,433
"21101125105",45,6,"2125105",17,62,491
"21101125106",50,14,"2125106",23,92,538
"21101125108",14,0,"2125108",14,32,215
"21101125112",63,9,"2125112",26,102,603
"21101125113",34,5,"2125113",26,55,364
"21101125118",28,8,"2125118",10,54,488
"21101125123",27,6,"2125123",13,42,251
"21101125124",41,8,"2125124",8,46,328
"21101125401",32,4,"2125401",17,43,376
"21101125404",19,4,"2125404",8,53,264
"21101125406",42,4,"2125406",8,66,407
"21101125407",0,0,"2125407",0,0,3
"21101125419",43,13,"2125419",27,77,483
"21101125420",48,6,"2125420",21,66,399
"21101125421",36,11,"2125421",15,65,414
"21101125422",50,13,"2125422",21,52,430
"21103126707",53,15,"2126707",26,90,465
"21101125424",37,18,"2125424",10,63,346
"21101125429",32,10,"2125429",42,84,398
"21101125431",54,3,"2125431",14,66,445
"21101125432",22,4,"2125432",7,19,238
"21101125501",30,13,"2125501",17,55,332
"21101125502",34,5,"2125502",17,52,277
"21103145033",41,5,"2145033",16,51,401
"21101125505",36,5,"2125505",15,52,346
"21101125507",30,7,"2125507",23,75,429
"21101125513",40,8,"2125513",15,54,314
"21101125601",16,0,"2125601",11,31,207
"21101125603",31,9,"2125603",10,44,300
"21101125605",67,16,"2125605",17,64,461
"21103126721",50,14,"2126721",31,70,461
"21101125606",44,7,"2125606",8,48,304
"21101125608",46,16,"2125608",26,73,462
"21101125609",26,8,"2125609",27,59,362
"21101125613",30,4,"2125613",19,55,316
"21101125620",32,9,"2125620",11,59,356
"21101125621",34,8,"2125621",25,82,429
"21103126723",21,11,"2126723",5,29,163
"21101125622",55,10,"2125622",24,86,412
"21101125629",48,7,"2125629",17,66,477
"21101125630",47,6,"2125630",26,61,418
"21101125703",53,12,"2125703",33,100,505
"21301133513",18,0,"2133513",5,29,297
"21101125708",40,13,"2125708",17,70,392
"21101125711",39,6,"2125711",20,51,339
"21101125931",35,0,"2125931",23,68,342
"21101125717",31,6,"2125717",8,18,318
"21101125801",0,0,"2125801",0,0,0
"21101125802",0,0,"2125802",0,0,10
"21101125805",57,20,"2125805",20,76,438
"21101125810",22,9,"2125810",17,39,330
"21101125814",40,4,"2125814",26,80,334
"21101125825",23,5,"2125825",6,40,237
"21101125933",32,6,"2125933",13,37,314
"21101125827",30,3,"2125827",16,40,271
"21101125901",35,8,"2125901",30,96,372
"21101125902",25,0,"2125902",13,41,207
"21101125914",40,11,"2125914",4,51,291
"21101125916",0,0,"2125916",0,0,0
